country,short_name,names,id,latitude,longitude,gtng_region,glims_id,rgi50_ids,rgi60_ids,rgi70_ids,wgi_id,parent_glacier_id,references,remarks
PK,UNNAMED 16510,,16510,36.580898,75.658798,14_south_asia_west,,RGI50-14.05331,RGI60-14.05331,,,,,Information derived from RGI5.0. | GLIMS_ID: G075659E36581N (invalid)
PK,UNNAMED 16511,,16511,36.5858,75.529404,14_south_asia_west,,RGI50-14.05333,RGI60-14.05333,,,,,Information derived from RGI5.0. | GLIMS_ID: G075529E36586N (invalid)
PK,UNNAMED 16512,,16512,36.676899,75.539703,14_south_asia_west,,RGI50-14.05335,RGI60-14.05335,,,,,Information derived from RGI5.0. | GLIMS_ID: G075540E36677N (invalid)
PK,UNNAMED 16513,,16513,36.722301,75.5765,14_south_asia_west,G075577E36722N,RGI50-14.05350,RGI60-14.05350,,,,,Information derived from RGI5.0.
PK,UNNAMED 16517,,16517,36.5905,75.166199,14_south_asia_west,,RGI50-14.05405,RGI60-14.05405,,,,,Information derived from RGI5.0. | GLIMS_ID: G075166E36591N (invalid)
PK,UNNAMED 16518,,16518,36.415699,74.638298,14_south_asia_west,,RGI50-14.05429,RGI60-14.05429,,,,,Information derived from RGI5.0. | GLIMS_ID: G074638E36416N (invalid)
PK,UNNAMED 16519,,16519,36.446899,74.743896,14_south_asia_west,,RGI50-14.05432,RGI60-14.05432,,,,,Information derived from RGI5.0. | GLIMS_ID: G074744E36447N (invalid)
PK,UNNAMED 16520,,16520,36.377201,74.775902,14_south_asia_west,,RGI50-14.05440,RGI60-14.05440,,,,,Information derived from RGI5.0. | GLIMS_ID: G074776E36377N (invalid)
PK,UNNAMED 16521,,16521,36.388599,74.648804,14_south_asia_west,,RGI50-14.05444,RGI60-14.05444,,,,,Information derived from RGI5.0. | GLIMS_ID: G074649E36389N (invalid)
PK,UNNAMED 16522,,16522,36.521599,74.117599,14_south_asia_west,,RGI50-14.05485,RGI60-14.05485,,,,,Information derived from RGI5.0. | GLIMS_ID: G074118E36522N (invalid)
PK,UNNAMED 16523,,16523,36.490501,74.051804,14_south_asia_west,,RGI50-14.05487,RGI60-14.05487,,,,,Information derived from RGI5.0. | GLIMS_ID: G074052E36491N (invalid)
PK,UNNAMED 16524,,16524,36.480301,74.079102,14_south_asia_west,,RGI50-14.05491,RGI60-14.05491,,,,,Information derived from RGI5.0. | GLIMS_ID: G074079E36480N (invalid)
PK,UNNAMED 16525,,16525,36.558701,74.226097,14_south_asia_west,G074226E36559N,RGI50-14.05503,RGI60-14.05503,,,,,Information derived from RGI5.0.
